date,event
2018-11-14,"['Nitto ATP World Tour Finals (tennis men)', 'Official or friendly matches (football men)', 'FIFA Under-17 Women’s World Cup Uruguay 2018 (football women)', 'Diverse FIS Ski World Cup Alpine Skiing (alpine skiing)']"
2018-11-15,"['Nitto ATP World Tour Finals (tennis men)', 'Official or friendly matches (football men)', 'FIFA Under-17 Women’s World Cup Uruguay 2018 (football women)', 'Diverse FIS Ski World Cup Alpine Skiing (alpine skiing)']"
2018-11-16,"['Nitto ATP World Tour Finals (tennis men)', 'Official or friendly matches (football men)', 'FIFA Under-17 Women’s World Cup Uruguay 2018 (football women)', 'Diverse FIS Ski World Cup Alpine Skiing (alpine skiing)']"
2018-11-17,"['Nitto ATP World Tour Finals (tennis men)', 'Official or friendly matches (football men)', 'FIFA Under-17 Women’s World Cup Uruguay 2018 (football women)', '2018 Africa Women Cup of Nations (football women)', 'Diverse FIS Ski World Cup Alpine Skiing (alpine skiing)']"
2018-11-18,"['Nitto ATP World Tour Finals (tennis men)', 'Official or friendly matches (football men)', 'FIFA Under-17 Women’s World Cup Uruguay 2018 (football women)', '2018 Africa Women Cup of Nations (football women)', 'Diverse FIS Ski World Cup Alpine Skiing (alpine skiing)']"
2018-11-19,"['Official or friendly matches (football men)', 'FIFA Under-17 Women’s World Cup Uruguay 2018 (football women)', '2018 Africa Women Cup of Nations (football women)', 'Diverse FIS Ski World Cup Alpine Skiing (alpine skiing)']"
2018-11-20,"['Official or friendly matches (football men)', 'FIFA Under-17 Women’s World Cup Uruguay 2018 (football women)', '2018 Africa Women Cup of Nations (football women)', 'Diverse FIS Ski World Cup Alpine Skiing (alpine skiing)']"
2018-11-21,"['FIFA Under-17 Women’s World Cup Uruguay 2018 (football women)', '2018 Africa Women Cup of Nations (football women)', 'World Cup of Golf (golf)', 'Diverse FIS Ski World Cup Alpine Skiing (alpine skiing)']"
2018-11-22,"['FIFA Under-17 Women’s World Cup Uruguay 2018 (football women)', '2018 Africa Women Cup of Nations (football women)', 'World Cup of Golf (golf)', 'Diverse FIS Ski World Cup Alpine Skiing (alpine skiing)']"
2018-11-23,"['FIFA Under-17 Women’s World Cup Uruguay 2018 (football women)', '2018 Africa Women Cup of Nations (football women)', 'World Cup of Golf (golf)', '2018 Formula 1 Etihad Airways Abu Dhabi Grand Prix (Formula 1)', 'Davis Cup Final (tennis men)', 'Diverse FIS Ski World Cup Alpine Skiing (alpine skiing)']"
2018-11-24,"['FIFA Under-17 Women’s World Cup Uruguay 2018 (football women)', '2018 Africa Women Cup of Nations (football women)', 'World Cup of Golf (golf)', '2018 Formula 1 Etihad Airways Abu Dhabi Grand Prix (Formula 1)', 'Davis Cup Final (tennis men)', 'Diverse FIS Ski World Cup Alpine Skiing (alpine skiing)']"
2018-11-25,"['FIFA Under-17 Women’s World Cup Uruguay 2018 (football women)', '2018 Africa Women Cup of Nations (football women)', 'World Cup of Golf (golf)', '2018 Formula 1 Etihad Airways Abu Dhabi Grand Prix (Formula 1)', 'Davis Cup Final (tennis men)', 'Diverse FIS Ski World Cup Alpine Skiing (alpine skiing)']"
2018-11-26,"['FIFA Under-17 Women’s World Cup Uruguay 2018 (football women)', '2018 Africa Women Cup of Nations (football women)', 'Diverse FIS Ski World Cup Alpine Skiing (alpine skiing)']"
2018-11-27,"['FIFA Under-17 Women’s World Cup Uruguay 2018 (football women)', '2018 Africa Women Cup of Nations (football women)', 'UEFA Champions League Group Stage MD5 (football men)', 'Diverse FIS Ski World Cup Alpine Skiing (alpine skiing)']"
2018-11-28,"['FIFA Under-17 Women’s World Cup Uruguay 2018 (football women)', '2018 Africa Women Cup of Nations (football women)', 'UEFA Champions League Group Stage MD5 (football men)', '2018 Men’s Hockey World Cup (field hockey men)', 'Diverse FIS Ski World Cup Alpine Skiing (alpine skiing)']"
2018-12-01,"['Diverse FIS Ski World Cup Alpine Skiing (alpine skiing)', 'FIFA Under-17 Women’s World Cup Uruguay 2018 (football women)', '2018 Africa Women Cup of Nations (football women)', '2018 Men’s Hockey World Cup (field hockey men)']"
2018-12-02,"['Diverse FIS Ski World Cup Alpine Skiing (alpine skiing)', '2018 Men’s Hockey World Cup (field hockey men)']"
2018-12-03,"['Diverse FIS Ski World Cup Alpine Skiing (alpine skiing)', '2018 Men’s Hockey World Cup (field hockey men)']"
2018-12-04,"['Diverse FIS Ski World Cup Alpine Skiing (alpine skiing)', '2018 Men’s Hockey World Cup (field hockey men)']"
2018-12-05,"['Diverse FIS Ski World Cup Alpine Skiing (alpine skiing)', '2018 Men’s Hockey World Cup (field hockey men)']"
2018-12-06,"['Diverse FIS Ski World Cup Alpine Skiing (alpine skiing)', '2018 Men’s Hockey World Cup (field hockey men)']"
2018-12-07,"['Diverse FIS Ski World Cup Alpine Skiing (alpine skiing)', '2018 Men’s Hockey World Cup (field hockey men)']"
2018-12-08,"['Diverse FIS Ski World Cup Alpine Skiing (alpine skiing)', '2018 Men’s Hockey World Cup (field hockey men)']"
2018-12-09,"['Diverse FIS Ski World Cup Alpine Skiing (alpine skiing)', '2018 Men’s Hockey World Cup (field hockey men)']"
2018-12-10,"['Diverse FIS Ski World Cup Alpine Skiing (alpine skiing)', '2018 Men’s Hockey World Cup (field hockey men)']"
2018-12-11,"['UEFA Champions League Group Stage MD6 (football men)', 'Diverse FIS Ski World Cup Alpine Skiing (alpine skiing)', '2018 Men’s Hockey World Cup (field hockey men)']"
2018-12-12,"['UEFA Champions League Group Stage MD6 (football men)', 'FIFA Club World Cup UAE 2018 (football men)', 'Diverse FIS Ski World Cup Alpine Skiing (alpine skiing)', '2018 Men’s Hockey World Cup (field hockey men)']"
2018-12-13,"['FIFA Club World Cup UAE 2018 (football men)', 'Diverse FIS Ski World Cup Alpine Skiing (alpine skiing)', '2018 Men’s Hockey World Cup (field hockey men)']"
2018-12-14,"['FIFA Club World Cup UAE 2018 (football men)', 'Diverse FIS Ski World Cup Alpine Skiing (alpine skiing)', '2018 Men’s Hockey World Cup (field hockey men)']"
2018-12-15,"['FIFA Club World Cup UAE 2018 (football men)', 'Diverse FIS Ski World Cup Alpine Skiing (alpine skiing)', '2018 Men’s Hockey World Cup (field hockey men)']"
2018-12-16,"['FIFA Club World Cup UAE 2018 (football men)', 'Diverse FIS Ski World Cup Alpine Skiing (alpine skiing)', '2018 Men’s Hockey World Cup (field hockey men)']"
2018-12-17,"['FIFA Club World Cup UAE 2018 (football men)', 'Diverse FIS Ski World Cup Alpine Skiing (alpine skiing)']"
2018-12-18,"['FIFA Club World Cup UAE 2018 (football men)', 'Diverse FIS Ski World Cup Alpine Skiing (alpine skiing)']"
2018-12-19,"['FIFA Club World Cup UAE 2018 (football men)', 'Diverse FIS Ski World Cup Alpine Skiing (alpine skiing)']"
2018-12-20,"['FIFA Club World Cup UAE 2018 (football men)', 'Diverse FIS Ski World Cup Alpine Skiing (alpine skiing)']"
2018-12-21,"['FIFA Club World Cup UAE 2018 (football men)', 'Diverse FIS Ski World Cup Alpine Skiing (alpine skiing)']"
2018-12-22,"['FIFA Club World Cup UAE 2018 (football men)', 'Diverse FIS Ski World Cup Alpine Skiing (alpine skiing)']"
2018-12-23,['Diverse FIS Ski World Cup Alpine Skiing (alpine skiing)']
2018-12-24,['Diverse FIS Ski World Cup Alpine Skiing (alpine skiing)']
2018-12-25,['Diverse FIS Ski World Cup Alpine Skiing (alpine skiing)']
2018-12-26,['Diverse FIS Ski World Cup Alpine Skiing (alpine skiing)']
2018-12-27,['Diverse FIS Ski World Cup Alpine Skiing (alpine skiing)']
2018-12-28,['Diverse FIS Ski World Cup Alpine Skiing (alpine skiing)']
2018-12-29,['Hopman Cup (tennis)']
2018-12-30,"['Hopman Cup (tennis)', 'Brisbane International presented by Suncorp (tennis)']"
2018-12-31,"['Hopman Cup (tennis)', 'Brisbane International presented by Suncorp (tennis)']"
2019-01-01,"['Diverse FIS Ski World Cup Alpine Skiing (alpine skiing)', 'Hopman Cup (tennis)', 'Brisbane International presented by Suncorp (tennis)']"
2019-01-02,"['Diverse FIS Ski World Cup Alpine Skiing (alpine skiing)', 'Hopman Cup (tennis)', 'Brisbane International presented by Suncorp (tennis)']"
2019-01-03,"['Diverse FIS Ski World Cup Alpine Skiing (alpine skiing)', 'Hopman Cup (tennis)', 'Brisbane International presented by Suncorp (tennis)']"
2019-01-04,"['Diverse FIS Ski World Cup Alpine Skiing (alpine skiing)', 'Hopman Cup (tennis)', 'Brisbane International presented by Suncorp (tennis)']"
2019-01-05,"['AFC Asian Cup 2019 (football men)', 'Diverse FIS Ski World Cup Alpine Skiing (alpine skiing)', 'Hopman Cup (tennis)', 'Brisbane International presented by Suncorp (tennis)']"
2019-01-06,"['AFC Asian Cup 2019 (football men)', 'Sydney International Tennis (tennis)', '2019 Dakar Rally (rally)', 'Diverse FIS Ski World Cup Alpine Skiing (alpine skiing)', 'Brisbane International presented by Suncorp (tennis)']"
2019-01-07,"['AFC Asian Cup 2019 (football men)', 'Sydney International Tennis (tennis)', '2019 Dakar Rally (rally)', 'Diverse FIS Ski World Cup Alpine Skiing (alpine skiing)']"
2019-01-08,"['AFC Asian Cup 2019 (football men)', 'Sydney International Tennis (tennis)', '2019 Dakar Rally (rally)', 'Diverse FIS Ski World Cup Alpine Skiing (alpine skiing)']"
2019-01-09,"['AFC Asian Cup 2019 (football men)', 'Sydney International Tennis (tennis)', '2019 Dakar Rally (rally)', 'Diverse FIS Ski World Cup Alpine Skiing (alpine skiing)']"
2019-01-10,"['AFC Asian Cup 2019 (football men)', 'Sydney International Tennis (tennis)', '2019 Dakar Rally (rally)', '2019 World Men’s Handball Championships (handball men)', 'Diverse FIS Ski World Cup Alpine Skiing (alpine skiing)']"
2019-01-11,"['AFC Asian Cup 2019 (football men)', 'Sydney International Tennis (tennis)', '2019 Dakar Rally (rally)', '2019 World Men’s Handball Championships (handball men)', 'ISU European Short Track Speed Skating Championships (short track speed skating)', 'ISU European Speed Skating Championships (speed skating)', 'Diverse FIS Ski World Cup Alpine Skiing (alpine skiing)']"
2019-01-12,"['AFC Asian Cup 2019 (football men)', 'Sydney International Tennis (tennis)', '2019 Dakar Rally (rally)', '2019 World Men’s Handball Championships (handball men)', 'ISU European Short Track Speed Skating Championships (short track speed skating)', 'ISU European Speed Skating Championships (speed skating)', 'Diverse FIS Ski World Cup Alpine Skiing (alpine skiing)']"
2019-01-13,"['AFC Asian Cup 2019 (football men)', '2019 Dakar Rally (rally)', '2019 World Men’s Handball Championships (handball men)', 'ISU European Short Track Speed Skating Championships (short track speed skating)', 'ISU European Speed Skating Championships (speed skating)', 'Diverse FIS Ski World Cup Alpine Skiing (alpine skiing)']"
2019-01-14,"['AFC Asian Cup 2019 (football men)', '2019 Dakar Rally (rally)', '2019 World Men’s Handball Championships (handball men)', 'Australian Open (tennis)', 'Diverse FIS Ski World Cup Alpine Skiing (alpine skiing)']"
2019-01-15,"['AFC Asian Cup 2019 (football men)', '2019 Dakar Rally (rally)', '2019 World Men’s Handball Championships (handball men)', 'Australian Open (tennis)', 'Diverse FIS Ski World Cup Alpine Skiing (alpine skiing)']"
2019-01-16,"['AFC Asian Cup 2019 (football men)', '2019 Dakar Rally (rally)', '2019 World Men’s Handball Championships (handball men)', 'Australian Open (tennis)', 'Diverse FIS Ski World Cup Alpine Skiing (alpine skiing)']"
2019-01-17,"['AFC Asian Cup 2019 (football men)', '2019 Dakar Rally (rally)', '2019 World Men’s Handball Championships (handball men)', 'Australian Open (tennis)', 'Diverse FIS Ski World Cup Alpine Skiing (alpine skiing)']"
2019-01-18,"['AFC Asian Cup 2019 (football men)', '2019 World Men’s Handball Championships (handball men)', 'Australian Open (tennis)', 'Diverse FIS Ski World Cup Alpine Skiing (alpine skiing)']"
2019-01-19,"['AFC Asian Cup 2019 (football men)', '2019 World Men’s Handball Championships (handball men)', 'Australian Open (tennis)', 'Diverse FIS Ski World Cup Alpine Skiing (alpine skiing)']"
2019-01-20,"['AFC Asian Cup 2019 (football men)', '2019 World Men’s Handball Championships (handball men)', 'Australian Open (tennis)', 'Diverse FIS Ski World Cup Alpine Skiing (alpine skiing)']"
2019-01-21,"['AFC Asian Cup 2019 (football men)', '2019 World Men’s Handball Championships (handball men)', 'Australian Open (tennis)', 'ISU European Figure Skating Championships (figure skating)', 'Diverse FIS Ski World Cup Alpine Skiing (alpine skiing)']"
2019-01-22,"['AFC Asian Cup 2019 (football men)', '2019 World Men’s Handball Championships (handball men)', 'Australian Open (tennis)', 'ISU European Figure Skating Championships (figure skating)', 'Diverse FIS Ski World Cup Alpine Skiing (alpine skiing)']"
2019-01-23,"['AFC Asian Cup 2019 (football men)', '2019 World Men’s Handball Championships (handball men)', 'Australian Open (tennis)', 'ISU European Figure Skating Championships (figure skating)', 'Diverse FIS Ski World Cup Alpine Skiing (alpine skiing)']"
2019-01-24,"['AFC Asian Cup 2019 (football men)', '2019 World Men’s Handball Championships (handball men)', 'Australian Open (tennis)', 'ISU European Figure Skating Championships (figure skating)', 'X Games Aspen 2019 (extreme sports)', 'Diverse FIS Ski World Cup Alpine Skiing (alpine skiing)']"
2019-01-25,"['AFC Asian Cup 2019 (football men)', '2019 World Men’s Handball Championships (handball men)', 'Australian Open (tennis)', 'ISU European Figure Skating Championships (figure skating)', 'X Games Aspen 2019 (extreme sports)', 'FIL World Championships (luge)', 'Diverse FIS Ski World Cup Alpine Skiing (alpine skiing)']"
2019-01-26,"['AFC Asian Cup 2019 (football men)', '2019 World Men’s Handball Championships (handball men)', 'Australian Open (tennis)', 'ISU European Figure Skating Championships (figure skating)', 'X Games Aspen 2019 (extreme sports)', 'FIL World Championships (luge)', 'Diverse FIS Ski World Cup Alpine Skiing (alpine skiing)']"
2019-01-27,"['AFC Asian Cup 2019 (football men)', '2019 World Men’s Handball Championships (handball men)', 'Australian Open (tennis)', 'ISU European Figure Skating Championships (figure skating)', 'X Games Aspen 2019 (extreme sports)', 'FIL World Championships (luge)', 'Diverse FIS Ski World Cup Alpine Skiing (alpine skiing)']"
2019-01-28,"['AFC Asian Cup 2019 (football men)', 'St. Petersburg Ladies Trophy (tennis women)', 'Diverse FIS Ski World Cup Alpine Skiing (alpine skiing)']"
2019-02-01,"['2019 Six Nations Championship (rugby)', 'Diverse FIS Ski World Cup Alpine Skiing (Alpine skiing)', 'AFC Asian Cup 2019 (football men)', 'St. Petersburg Ladies Trophy (tennis women)']"
2019-02-02,"['2019 Six Nations Championship (rugby)', 'Diverse FIS Ski World Cup Alpine Skiing (Alpine skiing)', 'St. Petersburg Ladies Trophy (tennis women)']"
2019-02-03,"['2019 Six Nations Championship (rugby)', 'Diverse FIS Ski World Cup Alpine Skiing (Alpine skiing)', 'St. Petersburg Ladies Trophy (tennis women)']"
2019-02-04,"['2019 Six Nations Championship (rugby)', 'Diverse FIS Ski World Cup Alpine Skiing (Alpine skiing)']"
2019-02-05,"['2019 Six Nations Championship (rugby)', 'FIS Alpine World Ski Championships 2019 (alpine skiing)', 'Diverse FIS Ski World Cup Alpine Skiing (Alpine skiing)']"
2019-02-06,"['2019 Six Nations Championship (rugby)', 'FIS Alpine World Ski Championships 2019 (alpine skiing)', 'Diverse FIS Ski World Cup Alpine Skiing (Alpine skiing)']"
2019-02-07,"['2019 Six Nations Championship (rugby)', 'FIS Alpine World Ski Championships 2019 (alpine skiing)', 'ISU World Single Distances Speed Skating Championships (speed skating)', 'Diverse FIS Ski World Cup Alpine Skiing (Alpine skiing)']"
2019-02-08,"['2019 Six Nations Championship (rugby)', 'FIS Alpine World Ski Championships 2019 (alpine skiing)', 'ISU World Single Distances Speed Skating Championships (speed skating)', 'Diverse FIS Ski World Cup Alpine Skiing (Alpine skiing)']"
2019-02-09,"['2019 Six Nations Championship (rugby)', 'FIS Alpine World Ski Championships 2019 (alpine skiing)', 'ISU World Single Distances Speed Skating Championships (speed skating)', 'Fed Cup 1st round (tennis women)', 'ABN AMRO World Tennis Tournament (tennis men)', 'Diverse FIS Ski World Cup Alpine Skiing (Alpine skiing)']"
2019-02-10,"['2019 Six Nations Championship (rugby)', 'FIS Alpine World Ski Championships 2019 (alpine skiing)', 'ISU World Single Distances Speed Skating Championships (speed skating)', 'Fed Cup 1st round (tennis women)', '2019 Winter EYOF (multiple winter sports)', 'ABN AMRO World Tennis Tournament (tennis men)', 'Diverse FIS Ski World Cup Alpine Skiing (Alpine skiing)']"
2019-02-11,"['2019 Six Nations Championship (rugby)', 'FIS Alpine World Ski Championships 2019 (alpine skiing)', '2019 Winter EYOF (multiple winter sports)', 'ABN AMRO World Tennis Tournament (tennis men)', 'Qatar Total Open 2019 (tennis women)', 'Diverse FIS Ski World Cup Alpine Skiing (Alpine skiing)']"
2019-02-12,"['2019 Six Nations Championship (rugby)', 'FIS Alpine World Ski Championships 2019 (alpine skiing)', '2019 Winter EYOF (multiple winter sports)', 'ABN AMRO World Tennis Tournament (tennis men)', 'Qatar Total Open 2019 (tennis women)', 'Champions League Last 32 Leg 1 (football men)', 'Diverse FIS Ski World Cup Alpine Skiing (Alpine skiing)']"
2019-02-13,"['2019 Six Nations Championship (rugby)', 'FIS Alpine World Ski Championships 2019 (alpine skiing)', '2019 Winter EYOF (multiple winter sports)', 'ABN AMRO World Tennis Tournament (tennis men)', 'Qatar Total Open 2019 (tennis women)', 'Champions League Last 32 Leg 1 (football men)', 'Diverse FIS Ski World Cup Alpine Skiing (Alpine skiing)']"
2019-02-14,"['2019 Six Nations Championship (rugby)', 'FIS Alpine World Ski Championships 2019 (alpine skiing)', '2019 Winter EYOF (multiple winter sports)', 'ABN AMRO World Tennis Tournament (tennis men)', 'Qatar Total Open 2019 (tennis women)', 'UEFA Women’s Futsal EURO 2019 (futsal women)', 'Diverse FIS Ski World Cup Alpine Skiing (Alpine skiing)']"
2019-02-15,"['2019 Six Nations Championship (rugby)', 'FIS Alpine World Ski Championships 2019 (alpine skiing)', '2019 Winter EYOF (multiple winter sports)', 'ABN AMRO World Tennis Tournament (tennis men)', 'Qatar Total Open 2019 (tennis women)', 'UEFA Women’s Futsal EURO 2019 (futsal women)', 'Diverse FIS Ski World Cup Alpine Skiing (Alpine skiing)']"
2019-02-16,"['2019 Six Nations Championship (rugby)', 'FIS Alpine World Ski Championships 2019 (alpine skiing)', 'ABN AMRO World Tennis Tournament (tennis men)', 'Qatar Total Open 2019 (tennis women)', 'UEFA Women’s Futsal EURO 2019 (futsal women)', 'Diverse FIS Ski World Cup Alpine Skiing (Alpine skiing)']"
2019-02-17,"['2019 Six Nations Championship (rugby)', 'FIS Alpine World Ski Championships 2019 (alpine skiing)', 'ABN AMRO World Tennis Tournament (tennis men)', 'UEFA Women’s Futsal EURO 2019 (futsal women)', 'Dubai Duty Free Tennis Championships (tennis women)', 'Diverse FIS Ski World Cup Alpine Skiing (Alpine skiing)']"
2019-02-18,"['2019 Six Nations Championship (rugby)', 'Dubai Duty Free Tennis Championships (tennis women)', 'Rio Open presented by Claro (tennis men)', 'Diverse FIS Ski World Cup Alpine Skiing (Alpine skiing)']"
2019-02-19,"['2019 Six Nations Championship (rugby)', 'Champions League Last 32 Leg 1 (football men)', 'Dubai Duty Free Tennis Championships (tennis women)', 'Rio Open presented by Claro (tennis men)', 'Diverse FIS Ski World Cup Alpine Skiing (Alpine skiing)']"
2019-02-20,"['2019 Six Nations Championship (rugby)', 'Champions League Last 32 Leg 1 (football men)', 'Dubai Duty Free Tennis Championships (tennis women)', 'Rio Open presented by Claro (tennis men)', 'FIS Nordic World Ski Championships 2019 (nordic skiing)', 'Diverse FIS Ski World Cup Alpine Skiing (Alpine skiing)']"
2019-02-21,"['2019 Six Nations Championship (rugby)', 'Dubai Duty Free Tennis Championships (tennis women)', 'Rio Open presented by Claro (tennis men)', 'FIS Nordic World Ski Championships 2019 (nordic skiing)', 'Diverse FIS Ski World Cup Alpine Skiing (Alpine skiing)']"
2019-02-22,"['2019 Six Nations Championship (rugby)', 'Dubai Duty Free Tennis Championships (tennis women)', 'Rio Open presented by Claro (tennis men)', 'FIS Nordic World Ski Championships 2019 (nordic skiing)', 'Diverse FIS Ski World Cup Alpine Skiing (Alpine skiing)']"
2019-02-23,"['2019 Six Nations Championship (rugby)', 'Dubai Duty Free Tennis Championships (tennis women)', 'Rio Open presented by Claro (tennis men)', 'FIS Nordic World Ski Championships 2019 (nordic skiing)', 'ISU World Sprint Speed Skating Championships (speed skating)', 'PSA World Championship 2019 (squash)', 'Diverse FIS Ski World Cup Alpine Skiing (Alpine skiing)']"
2019-02-24,"['2019 Six Nations Championship (rugby)', 'Rio Open presented by Claro (tennis men)', 'FIS Nordic World Ski Championships 2019 (nordic skiing)', 'ISU World Sprint Speed Skating Championships (speed skating)', 'PSA World Championship 2019 (squash)', 'Diverse FIS Ski World Cup Alpine Skiing (Alpine skiing)']"
2019-02-25,"['2019 Six Nations Championship (rugby)', 'FIS Nordic World Ski Championships 2019 (nordic skiing)', 'PSA World Championship 2019 (squash)', 'Dubai Duty Free Tennis Championships (tennis men)', 'Abierto Mexicano Telcel (tennis)', 'Diverse FIS Ski World Cup Alpine Skiing (Alpine skiing)']"
2019-02-26,"['2019 Six Nations Championship (rugby)', 'FIS Nordic World Ski Championships 2019 (nordic skiing)', 'PSA World Championship 2019 (squash)', 'Dubai Duty Free Tennis Championships (tennis men)', 'Abierto Mexicano Telcel (tennis)', 'Diverse FIS Ski World Cup Alpine Skiing (Alpine skiing)']"
2019-02-27,"['2019 Six Nations Championship (rugby)', 'FIS Nordic World Ski Championships 2019 (nordic skiing)', 'PSA World Championship 2019 (squash)', 'Dubai Duty Free Tennis Championships (tennis men)', 'Abierto Mexicano Telcel (tennis)', '2019 UCI Track Cycling World Championships (track cycling)', 'Diverse FIS Ski World Cup Alpine Skiing (Alpine skiing)']"
2019-02-28,"['2019 Six Nations Championship (rugby)', 'FIS Nordic World Ski Championships 2019 (nordic skiing)', 'PSA World Championship 2019 (squash)', 'Dubai Duty Free Tennis Championships (tennis men)', 'Abierto Mexicano Telcel (tennis)', '2019 UCI Track Cycling World Championships (track cycling)', 'Diverse FIS Ski World Cup Alpine Skiing (Alpine skiing)']"
2019-03-01,"['European Athletics Indoor Championships (athletics)', 'Diverse FIS Ski World Cup Alpine Skiing (Alpine skiing)', '2019 Six Nations Championship (rugby)', 'FIS Nordic World Ski Championships 2019 (nordic skiing)', 'PSA World Championship 2019 (squash)', 'Dubai Duty Free Tennis Championships (tennis men)', 'Abierto Mexicano Telcel (tennis)', '2019 UCI Track Cycling World Championships (track cycling)']"
2019-03-02,"['European Athletics Indoor Championships (athletics)', 'ISU World Allround Speed Skating Championships (speed skating)', '29th Winter Universiade (multiple winter sports)', 'Diverse FIS Ski World Cup Alpine Skiing (Alpine skiing)', '2019 Six Nations Championship (rugby)', 'FIS Nordic World Ski Championships 2019 (nordic skiing)', 'PSA World Championship 2019 (squash)', 'Dubai Duty Free Tennis Championships (tennis men)', 'Abierto Mexicano Telcel (tennis)', '2019 UCI Track Cycling World Championships (track cycling)']"
2019-03-03,"['European Athletics Indoor Championships (athletics)', 'ISU World Allround Speed Skating Championships (speed skating)', '29th Winter Universiade (multiple winter sports)', 'Diverse FIS Ski World Cup Alpine Skiing (Alpine skiing)', '2019 Six Nations Championship (rugby)', 'FIS Nordic World Ski Championships 2019 (nordic skiing)', '2019 UCI Track Cycling World Championships (track cycling)']"
2019-03-04,"['29th Winter Universiade (multiple winter sports)', 'BNP Paribas Open – Indian Wells (tennis)', 'Diverse FIS Ski World Cup Alpine Skiing (Alpine skiing)', '2019 Six Nations Championship (rugby)']"
2019-03-05,"['29th Winter Universiade (multiple winter sports)', 'BNP Paribas Open – Indian Wells (tennis)', 'Champions League Last 32 Leg 2 (football men)', 'Diverse FIS Ski World Cup Alpine Skiing (Alpine skiing)', '2019 Six Nations Championship (rugby)']"
2019-03-06,"['29th Winter Universiade (multiple winter sports)', 'BNP Paribas Open – Indian Wells (tennis)', 'Champions League Last 32 Leg 2 (football men)', 'Diverse FIS Ski World Cup Alpine Skiing (Alpine skiing)', '2019 Six Nations Championship (rugby)']"
2019-03-07,"['29th Winter Universiade (multiple winter sports)', 'BNP Paribas Open – Indian Wells (tennis)', 'IBU World Championships Biathlon (biathlon)', 'Diverse FIS Ski World Cup Alpine Skiing (Alpine skiing)', '2019 Six Nations Championship (rugby)']"
2019-03-08,"['29th Winter Universiade (multiple winter sports)', 'BNP Paribas Open – Indian Wells (tennis)', 'IBU World Championships Biathlon (biathlon)', 'ISU World Short Track Speed Skating Championships (short track speed skating)', 'Diverse FIS Ski World Cup Alpine Skiing (Alpine skiing)', '2019 Six Nations Championship (rugby)']"
2019-03-09,"['29th Winter Universiade (multiple winter sports)', 'BNP Paribas Open – Indian Wells (tennis)', 'IBU World Championships Biathlon (biathlon)', 'ISU World Short Track Speed Skating Championships (short track speed skating)', 'Diverse FIS Ski World Cup Alpine Skiing (Alpine skiing)', '2019 Six Nations Championship (rugby)']"
2019-03-10,"['29th Winter Universiade (multiple winter sports)', 'BNP Paribas Open – Indian Wells (tennis)', 'IBU World Championships Biathlon (biathlon)', 'ISU World Short Track Speed Skating Championships (short track speed skating)', 'Diverse FIS Ski World Cup Alpine Skiing (Alpine skiing)', '2019 Six Nations Championship (rugby)']"
2019-03-11,"['29th Winter Universiade (multiple winter sports)', 'BNP Paribas Open – Indian Wells (tennis)', 'IBU World Championships Biathlon (biathlon)', 'Diverse FIS Ski World Cup Alpine Skiing (Alpine skiing)', '2019 Six Nations Championship (rugby)']"
2019-03-12,"['29th Winter Universiade (multiple winter sports)', 'BNP Paribas Open – Indian Wells (tennis)', 'Champions League Last 32 Leg 2 (football men)', 'IBU World Championships Biathlon (biathlon)', 'The Players Championship 2019 (golf men)', 'Diverse FIS Ski World Cup Alpine Skiing (Alpine skiing)', '2019 Six Nations Championship (rugby)']"
2019-03-13,"['BNP Paribas Open – Indian Wells (tennis)', 'Champions League Last 32 Leg 2 (football men)', 'IBU World Championships Biathlon (biathlon)', 'The Players Championship 2019 (golf men)', 'Diverse FIS Ski World Cup Alpine Skiing (Alpine skiing)', '2019 Six Nations Championship (rugby)']"
2019-03-14,"['BNP Paribas Open – Indian Wells (tennis)', 'IBU World Championships Biathlon (biathlon)', 'The Players Championship 2019 (golf men)', 'Special Olympics World Games (multiple sports)', 'Diverse FIS Ski World Cup Alpine Skiing (Alpine skiing)', '2019 Six Nations Championship (rugby)']"
2019-03-15,"['BNP Paribas Open – Indian Wells (tennis)', 'IBU World Championships Biathlon (biathlon)', 'The Players Championship 2019 (golf men)', 'Special Olympics World Games (multiple sports)', 'Formula 1 Australian Grand Prix (Formula 1)', 'Diverse FIS Ski World Cup Alpine Skiing (Alpine skiing)', '2019 Six Nations Championship (rugby)']"
2019-03-16,"['BNP Paribas Open – Indian Wells (tennis)', 'IBU World Championships Biathlon (biathlon)', 'The Players Championship 2019 (golf men)', 'Special Olympics World Games (multiple sports)', 'Formula 1 Australian Grand Prix (Formula 1)', 'Diverse FIS Ski World Cup Alpine Skiing (Alpine skiing)', '2019 Six Nations Championship (rugby)']"
2019-03-17,"['BNP Paribas Open – Indian Wells (tennis)', 'IBU World Championships Biathlon (biathlon)', 'The Players Championship 2019 (golf men)', 'Special Olympics World Games (multiple sports)', 'Formula 1 Australian Grand Prix (Formula 1)', 'Diverse FIS Ski World Cup Alpine Skiing (Alpine skiing)']"
2019-03-18,"['Special Olympics World Games (multiple sports)', 'ISU World Figure Skating Championships (figure skating)', 'Official or friendly matches (football men)', 'Miami Open presented by Itaú (tennis)', 'Diverse FIS Ski World Cup Alpine Skiing (Alpine skiing)']"
