ds,event,Predicted_arrival_changes,Predicted_departure_changes
2020-04-19,"['spring_season', 'corona']",-38.30139162820528,-41.183068039814984
2022-11-23,"['FIFA World Cup Qatar 2022 (football men)', 'FIFA World Cup Qatar 2022 (football men)', 'Davis Cup Finals Knock-Out Stage (tennis men)']",0.0,0.0
2023-05-01,['Mutua Madrid Open (tennis)'],0.0,0.0
2024-12-23,['christmas_season'],21.63846961751236,10.34640190404146
2025-1-1,"['United Cup (tennis)', 'International Conference on Accounting and Finance (ICAF)', 'International Conference on Recent Innovations in Engineering and Technology (ICRIET)', 'International Conference on Environment and Natural Science (ICENS)', 'International Conference on Education and E-Learning (ICEEL)', 'International Conference on Vehicular, Mobile and Wearable Technology (ICVMWT)', 'International Conference on Economics, Management and Social Study (ICEMSS)', 'International Conference on Science and Innovative Engineering (ICSIE)', 'International Conference on Chemical and Biochemical Engineering (ICCBE)', 'International Conference on Medical and Health Sciences (ICMHS)']",0.0,0.0
2026-2-1,[],0.0,0.0
